"ts";"duration"
"2017-02-03 12:07:57.000000";"2691"
"2017-02-03 12:08:01.000000";"4357"
"2017-02-03 12:08:08.000000";"10435"
"2017-02-03 12:08:25.000000";"4397"
"2017-02-03 12:08:32.000000";"7942"
"2017-02-03 12:08:40.000000";"3679"
"2017-02-03 12:08:48.000000";"4152"
"2017-02-03 12:09:31.000000";"4868"
"2017-02-03 12:09:37.000000";"3916"
"2017-02-03 12:09:41.000000";"31493"
"2017-02-03 12:11:02.000000";"38901"
"2017-02-03 12:11:43.000000";"1255"
"2017-02-03 12:11:57.000000";"32199"
"2017-02-03 12:12:36.000000";"1851"
"2017-02-03 12:13:20.000000";"35619"
"2017-02-03 12:13:57.000000";"16879"
"2017-02-03 12:14:14.000000";"5586"
